"policy_id","policy_effective_year","month","underwriter","premium","coverage","irpm_value","loss_ratio","sales_manager","state","loss_ratio_category","irpm_status","action"
3010,"2012","Jun","Ekow",6076,"products",1.36,34,"Odeneho","MD","loss ratio < 40%","has irpm","add credit"
8249,"2011","Mar","Ben",35350,"auto",1.67,89,"Odeneho","SC","loss ratio>40%","has irpm","add debit"
4280,"2014","Sep","Mina",48108,"auto",1.6,22,"Odeneho","KY","loss ratio < 40%","has irpm","add credit"
9239,"2010","Aug","Mina",29424,"home",1.02,73,"Dedu","TN","loss ratio>40%","has irpm","add debit"
9839,"2011","Nov","Francis",34924,"building",0.99,22,"Ayikple","SC","loss ratio < 40%","has irpm","add credit"
477,"2012","Jan","Adjoa",17843,"contents",0.71,24,"Ayikple","IL","loss ratio < 40%","has irpm","add credit"
5524,"2015","Jul","Bella",17140,"contents",1.42,25,"Dedu","MN","loss ratio < 40%","has irpm","add credit"
9333,"2010","Nov","Dan",48205,"contents",0.51,96,"Dedu","TX","loss ratio>40%","has irpm","no action"
5767,"2014","Jul","Kwabena",30855,"products",0.88,27,"Odeneho","NY","loss ratio < 40%","has irpm","add credit"
4775,"2012","Feb","Abena",15923,"contents",0.82,95,"Ayikple","PA","loss ratio>40%","has irpm","no action"
10004,"2012","Feb","Kwabena",21404,"auto",1.14,15,"Ayikple","NC","loss ratio < 40%","has irpm","add credit"
4740,"2013","Dec","Kwasi",18287,"building",1.82,16,"Dedu","MN","loss ratio < 40%","has irpm","add credit"
7083,"2015","Feb","Janice",46531,"building",1.55,2,"Dedu","NJ","loss ratio < 40%","has irpm","add credit"
5986,"2010","Dec","Ama",1725,"auto",1.94,32,"Odeneho","TN","loss ratio < 40%","has irpm","add credit"
1076,"2012","Feb","Abbie",45172,"products",0.92,70,"Odeneho","VA","loss ratio>40%","has irpm","no action"
9404,"2013","Apr","Franca",12630,"home",1.58,23,"Odeneho","NY","loss ratio < 40%","has irpm","add credit"
2572,"2012","Feb","David",2140,"auto",1.91,99,"Ayikple","TN","loss ratio>40%","has irpm","add debit"
440,"2012","Nov","Ben",4905,"building",1.22,52,"Dedu","TX","loss ratio>40%","has irpm","no action"
3426,"2014","Dec","Abena",10835,"contents",1.8,9,"Odeneho","MN","loss ratio < 40%","has irpm","add credit"
9971,"2014","Mar","Janice",14456,"products",0.56,1,"Dedu","KY","loss ratio < 40%","has irpm","add credit"
9292,"2013","Feb","Ama",25837,"home",0.58,25,"Ayikple","NC","loss ratio < 40%","has irpm","add credit"
7236,"2015","Aug","Francis",43668,"contents",1.65,26,"Ayikple","GA","loss ratio < 40%","has irpm","add credit"
6689,"2012","Jun","Ama",46853,"home",1.5,98,"Ayikple","TN","loss ratio>40%","has irpm","add debit"
10383,"2015","Jan","Kwasi",27322,"auto",1.03,21,"Odeneho","NJ","loss ratio < 40%","has irpm","add credit"
6847,"2014","Aug","David",26546,"contents",1.86,3,"Ayikple","VA","loss ratio < 40%","has irpm","add credit"
7398,"2011","Aug","David",32821,"contents",1.6,12,"Ayikple","WI","loss ratio < 40%","has irpm","add credit"
5680,"2011","Jul","Franca",37506,"building",1.03,14,"Odeneho","TN","loss ratio < 40%","has irpm","add credit"
6202,"2010","Jul","Ekow",8937,"home",1.97,93,"Dedu","KY","loss ratio>40%","has irpm","add debit"
3018,"2012","Sep","Francis",9216,"building",0.72,37,"Dedu","PA","loss ratio < 40%","has irpm","add credit"
1536,"2014","Apr","Francis",42967,"contents",1.21,71,"Ayikple","SC","loss ratio>40%","has irpm","add debit"
