Policyid,policyeffyr,month,underwriter,premium,coverage,irpm,loss ratio,sales manager,state,reason1,reason2,action selected
1,2010,Aug,Ama,27816,products,1.41,89%,Odeneho,KY,loss ratio>40%,has irpm,add debit
2,2012,Nov,Adjoa,19444,contents,1.84,37%,Dedu,FL,,has irpm,add credit
3,2010,Feb,Ben,8061,auto,1.5,44%,Dedu,NJ,loss ratio>40%,has irpm,no action
4,2015,Jan,Dan,28987,auto,1.16,72%,Ayikple,PA,loss ratio>40%,has irpm,add debit
5,2012,Jul,Mina,41522,products,1.61,77%,Odeneho,TN,loss ratio>40%,has irpm,add debit
6,2011,Jan,Abena,43825,products,0.98,54%,Odeneho,NY,loss ratio>40%,has irpm,no action
7,2015,Sep,David,42219,auto,0.61,54%,Dedu,WI,loss ratio>40%,has irpm,no action
8,2012,Nov,Ekow,9413,products,1.66,55%,Dedu,FL,loss ratio>40%,has irpm,no action
9,2014,Sep,Kwasi,46588,building,1.8,99%,Odeneho,TN,loss ratio>40%,has irpm,add debit
10,2010,Feb,Kwabena,48701,products,0.67,28%,Ayikple,NJ,,has irpm,add credit
11,2014,Aug,Emefa,35945,products,1.94,24%,Dedu,WI,,has irpm,add credit
12,2012,Apr,Abbie,18464,contents,0.93,60%,Odeneho,SC,loss ratio>40%,has irpm,no action
13,2015,Feb,Aseda,46728,building,1.9,41%,Odeneho,NC,loss ratio>40%,has irpm,no action
14,2015,May,Bella,12114,products,1.09,81%,Odeneho,GA,loss ratio>40%,has irpm,add debit
15,2012,Nov,Janice,14873,building,0.71,67%,Ayikple,TN,loss ratio>40%,has irpm,no action
16,2014,Nov,Francis,41396,products,1.1,13%,Odeneho,TN,,has irpm,add credit
17,2015,Aug,Priscilla,30366,building,0.9,92%,Odeneho,TN,loss ratio>40%,has irpm,no action
18,2010,Jun,Franca,44071,products,1.81,50%,Dedu,FL,loss ratio>40%,has irpm,no action
19,2014,Jun,Alex,38770,auto,1.02,95%,Dedu,FL,loss ratio>40%,has irpm,add debit
20,2015,Jul,Ama,42185,home,1.53,98%,Ayikple,TN,loss ratio>40%,has irpm,add debit
21,2011,May,Adjoa,42326,auto,1.83,27%,Dedu,TX,,has irpm,add credit
22,2015,Jul,Ben,13552,auto,1.9,61%,Dedu,MN,loss ratio>40%,has irpm,no action
23,2012,May,Dan,40718,building,1.45,33%,Odeneho,KY,,has irpm,add credit
24,2015,Aug,Mina,19969,products,0.72,68%,Odeneho,SC,loss ratio>40%,has irpm,no action
25,2012,Apr,Abena,8363,contents,0.68,48%,Odeneho,NJ,loss ratio>40%,has irpm,no action
26,2010,Feb,David,18047,contents,1.13,16%,Ayikple,MD,,has irpm,add credit
27,2014,Jan,Ekow,25968,home,0.99,78%,Odeneho,NY,loss ratio>40%,has irpm,no action
28,2011,Jan,Kwasi,10928,home,0.91,50%,Odeneho,MN,loss ratio>40%,has irpm,no action
29,2013,Nov,Kwabena,39405,contents,0.55,56%,Dedu,KY,loss ratio>40%,has irpm,no action
30,2010,Jul,Emefa,43668,products,1.14,16%,Odeneho,MD,,has irpm,add credit
31,2013,Mar,Abbie,5696,home,1.49,83%,Odeneho,TN,loss ratio>40%,has irpm,add debit
32,2012,Jan,Aseda,26869,contents,1.77,51%,Ayikple,PA,loss ratio>40%,has irpm,no action
33,2012,Jul,Bella,27053,contents,0.78,96%,Dedu,KY,loss ratio>40%,has irpm,no action
34,2014,Oct,Janice,2966,products,1.64,68%,Odeneho,MD,loss ratio>40%,has irpm,no action
35,2013,May,Francis,24844,auto,1.87,67%,Odeneho,IL,loss ratio>40%,has irpm,no action
36,2012,Oct,Priscilla,16700,auto,0.73,52%,Ayikple,VA,loss ratio>40%,has irpm,no action
37,2011,Feb,Franca,15355,home,1.24,32%,Odeneho,MD,,has irpm,add credit
38,2014,Nov,Alex,26496,products,1.49,6%,Dedu,TX,,has irpm,add credit
39,2011,Jan,Ama,33159,contents,0.94,54%,Dedu,FL,loss ratio>40%,has irpm,no action
40,2015,Jul,Adjoa,36898,contents,0.72,86%,Dedu,NC,loss ratio>40%,has irpm,no action
41,2013,Mar,Ben,18849,products,1.58,22%,Dedu,NC,,has irpm,add credit
42,2013,Feb,Dan,42969,building,1.35,45%,Dedu,MN,loss ratio>40%,has irpm,no action
43,2010,Dec,Mina,45852,auto,0.91,84%,Dedu,TX,loss ratio>40%,has irpm,no action
44,2013,Feb,Abena,1762,building,1.92,65%,Dedu,NC,loss ratio>40%,has irpm,no action
45,2013,Feb,David,5433,products,1.2,44%,Ayikple,VA,loss ratio>40%,has irpm,no action
46,2011,Nov,Ekow,47138,auto,1.47,23%,Dedu,MN,,has irpm,add credit
47,2013,Nov,Kwasi,10894,home,1.12,19%,Odeneho,NJ,,has irpm,add credit
48,2015,Dec,Kwabena,4692,auto,0.54,35%,Ayikple,MD,,has irpm,add credit
49,2011,Jul,Emefa,37724,contents,0.5,55%,Odeneho,MD,loss ratio>40%,has irpm,add credit
50,2013,Nov,Abbie,31597,contents,0.92,9%,Ayikple,NC,,has irpm,add credit
51,2012,Feb,Aseda,26303,contents,1.71,15%,Dedu,TN,,has irpm,add credit
52,2011,Oct,Bella,48311,home,1.52,6%,Dedu,GA,,has irpm,add credit
53,2013,Jan,Janice,20686,building,1.41,1%,Ayikple,MD,,has irpm,add credit
54,2012,Jun,Francis,2666,auto,1.2,18%,Dedu,IL,,has irpm,add credit
55,2013,Dec,Priscilla,2572,contents,0.65,75%,Ayikple,MN,loss ratio>40%,has irpm,no action
56,2010,Feb,Franca,34728,building,1.7,82%,Ayikple,WI,loss ratio>40%,has irpm,add debit
57,2010,May,Alex,35494,auto,0.65,54%,Dedu,NJ,loss ratio>40%,has irpm,no action
58,2012,Aug,Ama,44646,building,1.39,53%,Odeneho,TN,loss ratio>40%,has irpm,no action
59,2011,Apr,Adjoa,23129,contents,0.7,1%,Dedu,NJ,,has irpm,add credit
60,2011,Jan,Ben,45684,auto,1.92,11%,Ayikple,WI,,has irpm,add credit
61,2011,Jul,Dan,35693,auto,1.47,82%,Odeneho,MN,loss ratio>40%,has irpm,add debit
62,2010,Dec,Mina,43372,building,1.69,69%,Ayikple,VA,loss ratio>40%,has irpm,no action
63,2013,Dec,Abena,48811,auto,0.77,56%,Odeneho,NJ,loss ratio>40%,has irpm,no action
64,2013,Oct,David,45064,building,0.64,28%,Odeneho,GA,,has irpm,add credit
65,2011,Oct,Ekow,16634,products,0.95,18%,Dedu,TX,,has irpm,add credit
66,2010,Mar,Kwasi,11269,products,0.78,73%,Dedu,FL,loss ratio>40%,has irpm,no action
